copyright 2017 martin lurie GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°F),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel pressure(psi),GPS Latitude(°),GPS Longitude(°),Kilometers Per Litre(Instant)(kpl),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),Speed (OBD)(mph)
Fri May 05 18:49:09 EDT 2017,05-May-2017 18:50:36.290,-71.23020843,42.29934389,0.0,9.0,36.0,0.0,-0.33758244,4.44663095,7.90984392,-0.05538177,-,-0.07340166,-0.03209353,0.44369608,0.7124666,-,999.59472656,-,-,-,-,-,42.29934311,-71.23020935,-,-,-,0
Fri May 05 18:49:10 EDT 2017,05-May-2017 18:50:37.254,-71.23021352,42.29933454,0.0,7.0,36.0,0.0,-0.35733461,4.37899494,7.94575691,-0.05545914,-,-0.0675827,-0.02538195,0.43875393,0.7219848,-,999.5612793,-,141.80000305,-,-,-,42.29933548,-71.23021698,-,3.95000005,-,0
Fri May 05 18:49:11 EDT 2017,05-May-2017 18:50:38.253,-71.23021934,42.29931346,0.0,6.0,35.0,0.0,-0.24959552,4.36582661,7.9816699,-0.05555682,-,-0.07194737,-0.02544297,0.44503838,0.71362585,-,999.50317383,-,141.80000305,-,978,-,42.29931259,-71.23021698,-,3.95000005,-,0
Fri May 05 18:49:12 EDT 2017,05-May-2017 18:50:39.253,-71.23022203,42.29930382,0.0,6.0,34.0,0.0,-0.25019407,4.40533113,7.99004984,-0.05376675,30.58823586,-0.07276507,-0.03020209,0.45144489,0.70898879,14.60982895,999.5769043,-,141.80000305,-,978,-,42.29930496,-71.23022461,-,3.95000005,-,0
Fri May 05 18:49:13 EDT 2017,05-May-2017 18:50:40.253,-71.23022201,42.29930468,0.0,5.0,34.0,0.0,-0.07661445,4.16531229,7.60578012,-0.06785542,30.58823586,-0.11570208,-0.00780983,0.42459857,0.67530888,14.60982895,999.59838867,-,141.80000305,-,984,-,42.29930496,-71.23022461,-,3.99000001,-,0
Fri May 05 18:49:14 EDT 2017,05-May-2017 18:50:41.253,-71.230222,42.29930441,0.0,4.0,34.0,0.0,-0.17238252,4.19942999,8.01518917,-0.05843997,40,-0.0771248,-0.01757212,0.42807645,0.71704268,14.61072731,999.54199219,-,143.6000061,-,2383,-,42.29930496,-71.23022461,-,5.11999989,-,0
Fri May 05 18:49:15 EDT 2017,05-May-2017 18:50:42.253,-71.23022231,42.29930381,0.0,4.0,34.0,0.0,-0.32142156,4.44902515,7.90505552,-0.05574715,31.37254906,-0.07591234,-0.04838435,0.44345203,0.70892775,29.39955139,999.6003418,-,143.6000061,-,2383,-,42.29930496,-71.23022461,-,5.11999989,-,0
Fri May 05 18:49:16 EDT 2017,05-May-2017 18:50:43.254,-71.23022245,42.29930351,0.0,4.0,34.0,0.0,-0.32980129,4.48314285,7.726089,-0.05912316,31.37254906,-0.08850952,-0.03361889,0.45699722,0.68757278,13.77900696,999.62426758,-,143.6000061,-,981,-,42.29930496,-71.23022461,-,5.17000008,-,0
Fri May 05 18:49:17 EDT 2017,05-May-2017 18:50:44.254,-71.23022249,42.29930365,0.0,4.0,34.0,0.0,-0.24540567,4.50229645,7.87632513,-0.05111718,31.37254906,-0.07454143,-0.02501587,0.45894966,0.70288736,13.77138042,999.60571289,-,143.6000061,-,983,-,42.29930496,-71.23022461,-,5.05999994,-,0
Fri May 05 18:49:18 EDT 2017,05-May-2017 18:50:45.253,-71.23022244,42.2993037,0.0,4.0,34.0,0.0,-0.63326633,4.44184256,7.86016417,-0.0584119,31.37254906,-0.06215214,-0.03276468,0.46078008,0.7158224,13.51971054,999.62280273,-,143.6000061,-,981,-,42.29930496,-71.23022461,-,5.11999989,-,0
