GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°F),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel pressure(psi),GPS Latitude(°),GPS Longitude(°),Kilometers Per Litre(Instant)(kpl),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),Speed (OBD)(mph)
Sun May 07 16:55:19 EDT 2017,07-May-2017 16:56:47.508,-71.19472558,42.32984797,0.0,4.0,-1.0,0.0,-0.88405895,5.4875102,7.23467922,0.01229896,-,-0.06814332,-0.04832333,0.52014703,0.67128193,-,995.62670898,-,-,-,-,-,42.32984924,-71.19472504,-,-,-,0
Sun May 07 16:55:20 EDT 2017,07-May-2017 16:56:48.507,-71.19473897,42.32985136,0.0,4.0,0.0,0.0,-1.02052844,3.03824186,6.40029955,-0.03834553,-,-0.2700924,-0.10402939,0.30970863,0.55242604,-,995.72460938,-,176,-,-,-,42.32985306,-71.1947403,-,-,-,0
Sun May 07 16:55:21 EDT 2017,07-May-2017 16:56:49.507,-71.1947457,42.32985163,0.0,4.0,0.0,0.0,3.7026329,4.49870491,16.70733833,-0.14251989,-,-0.24377204,-0.23331872,0.38079032,0.50996006,-,995.63330078,-,176,-,788,-,42.32985306,-71.19474792,-,2.81999993,-,0
Sun May 07 16:55:22 EDT 2017,07-May-2017 16:56:50.512,-71.19474646,42.32984964,0.0,4.0,0.0,0.0,5.3743844,-1.15340662,6.9252286,-0.02110958,30.19607925,-0.05657671,0.60568911,-0.08438279,0.61795539,14.82067585,995.75195312,-,176,-,788,-,42.32984924,-71.19474792,-,2.81999993,-,0
Sun May 07 16:55:23 EDT 2017,07-May-2017 16:56:51.509,-71.19474311,42.32985044,0.0,4.0,0.0,0.0,4.41071796,0.26276365,8.01997757,0.01100594,30.19607925,-0.10873181,0.42947972,-0.00079319,0.68061709,14.82067585,995.71606445,-,176,-,792,-,42.32984924,-71.1947403,-,2.6500001,-,0
Sun May 07 16:55:24 EDT 2017,07-May-2017 16:56:52.507,-71.19474215,42.32985071,0.0,3.0,0.0,0.0,4.4119153,0.207697,8.21869564,0.00205412,30.19607925,-0.04857093,0.44973651,0.02117197,0.73778749,14.86553574,995.60668945,-,176,-,792,-,42.32984924,-71.1947403,-,2.6500001,-,0
Sun May 07 16:55:25 EDT 2017,07-May-2017 16:56:53.507,-71.19474227,42.329852,0.0,3.0,0.0,0.0,4.26646757,0.18555063,8.31685829,0.01879327,30.19607925,-0.04664823,0.43491003,0.01891444,0.74779391,14.86553574,995.67626953,-,176,-,788,-,42.32985306,-71.1947403,-,2.8499999,-,0
Sun May 07 16:55:26 EDT 2017,07-May-2017 16:56:54.506,-71.19474141,42.32985276,0.0,3.0,0.0,0.0,4.0186677,-0.00837971,8.00082397,-0.00971115,30.19607925,-0.05308874,0.43228641,0.02666325,0.74169242,14.88617229,995.62792969,-,176,-,795,-,42.32985306,-71.1947403,-,2.68000007,-,0
Sun May 07 16:55:27 EDT 2017,07-May-2017 16:56:55.508,-71.19473944,42.32985652,0.0,3.0,-1.0,0.0,3.93008208,0.07182605,7.78833818,-0.03308868,30.58823586,-0.0984837,0.40611124,0.01305706,0.7044127,15.7519865,995.69506836,-,176,-,752,-,42.32985687,-71.1947403,-,3.67000008,-,0
Sun May 07 16:55:28 EDT 2017,07-May-2017 16:56:56.508,-71.19473994,42.32985821,0.0,3.0,-1.0,0.0,4.05398226,0.31244332,7.51599789,-0.05130637,30.58823586,-0.04928705,0.43728954,0.04020843,0.74285167,14.79645061,995.77636719,-,176,-,805,-,42.32985687,-71.1947403,-,3.91000009,-,0
Sun May 07 16:55:29 EDT 2017,07-May-2017 16:56:57.508,-71.1947398,42.32986016,0.0,3.0,-1.0,0.0,4.0090909,-0.07422026,8.20971775,-0.0048851,30.58823586,-0.0683243,0.40867388,-0.00756577,0.73687232,14.84086323,995.72070312,-,176,-,792,-,42.32986069,-71.1947403,-,3.67000008,-,0
Sun May 07 16:55:30 EDT 2017,07-May-2017 16:56:58.506,-71.19473979,42.32986118,0.0,3.0,-1.0,0.0,3.86364293,-0.12449849,7.66144562,0.00488472,30.58823586,-0.01519018,0.44162157,0.0285547,0.77939928,14.63360596,995.7097168,-,176,-,792,-,42.32986069,-71.1947403,-,3.71000004,-,0
Sun May 07 16:55:31 EDT 2017,07-May-2017 16:56:59.506,-71.19474071,42.32986216,0.0,3.0,-1.0,0.0,4.03063869,0.26036942,7.59620333,-0.0454005,30.58823586,-0.12271126,0.4108704,0.02654122,0.67433262,14.65603638,995.62329102,-,176,-,785,-,42.32986069,-71.1947403,-,3.71000004,-,0
Sun May 07 16:55:32 EDT 2017,07-May-2017 16:57:00.506,-71.19474161,42.32986251,0.0,3.0,-1.0,0.0,3.91990662,0.04010288,7.76319885,-0.03586453,30.19607925,-0.11317201,0.39958271,0.00408796,0.69135565,14.86374187,995.57519531,-,176,-,779,-,42.32986069,-71.1947403,-,2.88000011,-,0
Sun May 07 16:55:33 EDT 2017,07-May-2017 16:57:01.506,-71.19474208,42.32986259,0.0,4.0,-1.0,0.0,4.03662395,0.1436521,7.81108284,-0.00183323,30.19607925,-0.06374098,0.42136484,0.00420999,0.73571306,14.752038,995.62988281,-,176,-,813,-,42.32986069,-71.1947403,-,2.97000003,-,0
Sun May 07 16:55:34 EDT 2017,07-May-2017 16:57:02.506,-71.19474335,42.32986232,0.0,4.0,-1.0,0.0,4.01328039,0.02992752,7.8805151,-0.00272025,30.19607925,-0.09820051,0.40910095,0.00305072,0.70331448,14.60848427,995.6394043,-,176,-,790,-,42.32986069,-71.1947403,-,2.81999993,-,0
Sun May 07 16:55:35 EDT 2017,07-May-2017 16:57:03.506,-71.1947445,42.32986226,0.0,4.0,0.0,0.0,3.96240377,0.10354923,7.91642809,-0.01991099,30.19607925,-0.09721307,0.40391475,0.01055548,0.70697534,14.67936325,995.67041016,-,176,-,783,-,42.32986069,-71.19474792,-,2.8499999,-,0
Sun May 07 16:55:36 EDT 2017,07-May-2017 16:57:04.506,-71.19474591,42.32986117,0.0,4.0,0.0,0.0,3.97676897,0.14305355,7.89667559,-0.02099717,30.19607925,-0.08079018,0.41215166,0.03386294,0.72058153,14.79645061,995.62841797,-,176,-,788,-,42.32986069,-71.19474792,-,2.68000007,-,0
Sun May 07 16:55:37 EDT 2017,07-May-2017 16:57:05.506,-71.19474649,42.32986127,0.0,4.0,0.0,0.0,5.16130018,0.16579847,8.0971899,0.05658042,34.11764908,-0.02069545,0.52612638,0.01690096,0.72540158,15.51512051,995.68505859,-,176,-,782,-,42.32986069,-71.19474792,-,2.74000001,-,0
Sun May 07 16:55:38 EDT 2017,07-May-2017 16:57:06.506,-71.19483448,42.32991961,0.24,4.0,18.0,313.0,5.98430729,0.54767364,7.50043535,0.01988448,33.72549057,-0.01996621,0.61002111,0.05582809,0.66457033,14.2195406,995.59423828,-,176,-,1749,-,42.32991791,-71.19483185,-,9.77000046,-,2.48548484
Sun May 07 16:55:39 EDT 2017,07-May-2017 16:57:07.507,-71.19483381,42.32994308,1.81,3.0,19.0,6.2,6.15429544,0.36332011,7.60937166,0.01854973,34.50980377,-0.07220612,0.55047113,0.0029897,0.64644909,12.87595844,995.63208008,-,176,-,1634,-,42.32994461,-71.19483185,-,13.32999992,-,8.07782555
Sun May 07 16:55:40 EDT 2017,07-May-2017 16:57:08.506,-71.19483173,42.3299771,3.83,3.0,20.0,7.2,3.94205308,0.01197101,8.29052162,0.01339167,31.37254906,-0.06389903,0.40184027,0.00122029,0.7451092,14.22447395,995.59106445,-,176,-,2252,-,42.32997894,-71.19483185,-,10.81999969,-,9.32056808
